Complaints,Minlat,Minlong,Maxlat,Maxlong
1,13.03525205,77.60736,13.03665494,77.60862
1,13.03384915,77.60736,13.03525205,77.60862
2,13.02455476,77.60736,13.02595771,77.60862
1,12.98176097,77.60736,12.98298876,77.60862
3,12.94299466,77.60736,12.94422265,77.60862
2,12.94159124,77.60736,12.94299466,77.60862
1,12.90281869,77.60736,12.90404687,77.60862
1,12.98579512,77.60862,12.9870229,77.61006
1,12.91615291,77.60862,12.91755648,77.61006
1,12.88930828,77.60862,12.890712,77.61006
2,12.98982921,77.61006,12.99105697,77.6115
2,12.94966079,77.61006,12.95088874,77.6115
1,12.9054505,77.61006,12.90685412,77.6115
1,13.02718528,77.6115,13.02858822,77.61276
2,12.9870229,77.6115,12.98842606,77.61276
1,12.92281976,77.6115,12.92422329,77.61276
1,13.12887742,77.61276,13.13027978,77.6142
1,12.98176097,77.61276,12.98298876,77.6142
1,12.96439581,77.61276,12.96562369,77.6142
1,12.91474935,77.61276,12.91615291,77.6142
1,12.87334051,77.61276,12.87456883,77.6142
1,12.93211796,77.6142,12.93352143,77.61564
1,12.92422329,77.6142,12.92545136,77.61564
1,12.92281976,77.6142,12.92422329,77.61564
1,12.89474763,77.6142,12.89597585,77.61564
2,13.04051284,77.6169,13.0419157,77.61834
1,13.00438647,77.6169,13.00578954,77.61834
3,12.9750957,77.6169,12.97632352,77.61834
1,12.97228922,77.6169,12.97369246,77.61834
6,12.95229211,77.6169,12.95369547,77.61834
1,12.94018782,77.6169,12.94159124,77.61834
1,12.89737952,77.6169,12.89878319,77.61834
1,13.02981578,77.61834,13.0312187,77.61978
3,12.91352122,77.61834,12.91474935,77.61978
1,12.89737952,77.61834,12.89878319,77.61978
1,13.07540661,77.61978,13.07663394,77.62104
1,13.07137391,77.61978,13.0727766,77.62104
1,13.06208093,77.61978,13.06330832,77.62104
1,13.04051284,77.61978,13.0419157,77.62104
1,13.03384915,77.61978,13.03525205,77.62104
3,13.02595771,77.61978,13.02718528,77.62104
1,12.94159124,77.61978,12.94299466,77.62104
1,12.93352143,77.61978,12.9349249,77.62104
1,12.90281869,77.61978,12.90404687,77.62104
1,12.8921157,77.61978,12.89334394,77.62104
2,12.93352143,77.62104,12.9349249,77.62248
2,12.89878319,77.62104,12.90001139,77.62248
5,13.03384915,77.62248,13.03525205,77.62374
1,13.00438647,77.62248,13.00578954,77.62374
1,12.99772181,77.62248,12.99912491,77.62374
1,12.97772675,77.62248,12.97912996,77.62374
1,12.94966079,77.62248,12.95088874,77.62374
1,13.03928533,77.62374,13.04051284,77.62518
1,13.0098233,77.62374,13.01122634,77.62518
1,12.95088874,77.62374,12.95229211,77.62518
1,12.94299466,77.62374,12.94422265,77.62518
2,12.93755637,77.62374,12.93895981,77.62518
1,12.93615292,77.62374,12.93755637,77.62518
1,12.91211763,77.62374,12.91352122,77.62518
11,12.98176097,77.62518,12.98298876,77.62662
2,12.8866763,77.62518,12.88808003,77.62662
2,13.013857,77.62662,13.01526001,77.62788
1,12.96825484,77.62662,12.96965811,77.62788
2,12.93352143,77.62662,12.9349249,77.62788
2,12.92281976,77.62662,12.92422329,77.62788
4,12.90948589,77.62662,12.91071404,77.62788
4,12.98035777,77.62788,12.98176097,77.62932
2,12.92685487,77.62788,12.92825837,77.62932
1,12.91755648,77.62788,12.91878459,77.62932
1,13.0727766,77.62932,13.07400394,77.63076
1,13.00719259,77.62932,13.00842026,77.63076
1,12.93088992,77.62932,12.93211796,77.63076
1,12.90281869,77.62932,12.90404687,77.63076
1,12.92545136,77.63076,12.92685487,77.63202
2,12.92422329,77.63076,12.92545136,77.63202
1,12.89878319,77.63076,12.90001139,77.63202
1,13.07137391,77.63202,13.0727766,77.63346
1,13.02718528,77.63202,13.02858822,77.63346
2,12.97228922,77.63202,12.97369246,77.63346
1,12.96965811,77.63202,12.97106137,77.63346
1,12.92825837,77.63202,12.92948643,77.63346
1,12.92018813,77.63202,12.92141623,77.63346
1,12.91878459,77.63202,12.92018813,77.63346
1,12.88930828,77.63202,12.890712,77.63346
1,13.02455476,77.63346,13.02595771,77.63472
13,12.92422329,77.63346,12.92545136,77.63472
1,12.91211763,77.63346,12.91352122,77.63472
1,12.91071404,77.63346,12.91211763,77.63472
1,13.08873157,77.63472,13.09013416,77.63616
1,13.0513848,77.63472,13.05261224,77.63616
1,13.02455476,77.63472,13.02595771,77.63616
1,13.0231518,77.63472,13.02455476,77.63616
1,13.013857,77.63472,13.01526001,77.63616
1,13.00578954,77.63472,13.00719259,77.63616
2,12.95895799,77.63472,12.96036131,77.63616
1,12.92545136,77.63472,12.92685487,77.63616
1,12.92422329,77.63472,12.92545136,77.63616
1,12.90808228,77.63472,12.90948589,77.63616
2,12.89597585,77.63472,12.89737952,77.63616
3,13.0231518,77.63616,13.02455476,77.6376
2,12.92141623,77.63616,12.92281976,77.6376
1,12.91352122,77.63616,12.91474935,77.6376
2,12.87597263,77.63616,12.87737641,77.6376
1,13.02455476,77.6376,13.02595771,77.63886
4,12.96036131,77.6376,12.96158921,77.63886
1,12.91071404,77.6376,12.91211763,77.63886
1,12.9054505,77.6376,12.90685412,77.63886
1,13.0219242,77.63886,13.0231518,77.6403
1,13.02052123,77.63886,13.0219242,77.6403
2,12.890712,77.63886,12.8921157,77.6403
21,12.88808003,77.63886,12.88930828,77.6403
1,13.07137391,77.6403,13.0727766,77.64174
1,13.03525205,77.6403,13.03665494,77.64174
1,12.97106137,77.6403,12.97228922,77.64174
1,12.96825484,77.6403,12.96965811,77.64174
2,12.9549234,77.6403,12.95632674,77.64174
3,12.95229211,77.6403,12.95369547,77.64174
11,12.93615292,77.6403,12.93755637,77.64174
1,12.90685412,77.6403,12.90808228,77.64174
1,12.87456883,77.6403,12.87597263,77.64174
1,12.97228922,77.64174,12.97369246,77.643
2,12.95895799,77.64174,12.96036131,77.643
2,12.91474935,77.64174,12.91615291,77.643
1,13.03788246,77.643,13.03928533,77.64444
1,12.97772675,77.643,12.97912996,77.64444
1,12.96702697,77.643,12.96825484,77.64444
1,12.95895799,77.643,12.96036131,77.64444
1,12.95088874,77.643,12.95229211,77.64444
1,12.83982241,77.643,12.8412264,77.64444
1,13.01911825,77.64444,13.02052123,77.6457
1,13.00719259,77.64444,13.00842026,77.6457
1,12.98176097,77.64444,12.98298876,77.6457
1,12.96562369,77.64444,12.96702697,77.6457
1,12.96036131,77.64444,12.96158921,77.6457
3,12.95895799,77.64444,12.96036131,77.6457
16,12.91071404,77.64444,12.91211763,77.6457
3,13.01789064,77.6457,13.01911825,77.64714
1,13.01122634,77.6457,13.01245398,77.64714
1,13.00842026,77.6457,13.0098233,77.64714
2,12.90808228,77.6457,12.90948589,77.64714
21,13.02052123,77.64714,13.0219242,77.64858
1,13.01122634,77.64714,13.01245398,77.64858
1,12.96965811,77.64714,12.97106137,77.64858
1,12.96036131,77.64714,12.96158921,77.64858
1,12.90685412,77.64714,12.90808228,77.64858
1,13.03525205,77.64858,13.03665494,77.64984
1,13.01789064,77.64858,13.01911825,77.64984
1,13.00842026,77.64858,13.0098233,77.64984
1,13.00578954,77.64858,13.00719259,77.64984
3,12.97106137,77.64858,12.97228922,77.64984
1,12.96825484,77.64858,12.96965811,77.64984
1,13.01789064,77.64984,13.01911825,77.65128
2,13.00719259,77.64984,13.00842026,77.65128
1,12.96825484,77.64984,12.96965811,77.65128
2,12.96702697,77.64984,12.96825484,77.65128
1,12.92141623,77.64984,12.92281976,77.65128
1,12.8719367,77.64984,12.87334051,77.65128
